pipeline_id,team,domain,sla_tier,consumer_count,cost_monthly_eur,mode,dependencies
PIPE-011,analytics,forecasting,best_effort,1,55,batch,none
PIPE-023,asset-ops,asset-mgmt,standard,3,140,batch,none
PIPE-047,ingestion,weather,best_effort,2,72,batch,none
PIPE-056,analytics,ml-features,standard,4,188,batch,PIPE-023
PIPE-073,compliance,compliance,best_effort,1,48,batch,none
PIPE-091,platform,asset-mgmt,standard,2,165,batch,none
PIPE-007,silver-transform,meters,high,6,420,batch,PIPE-001
PIPE-019,analytics,billing,high,8,610,batch,PIPE-007
PIPE-034,silver-transform,turbines,high,5,385,batch,none
PIPE-052,billing,billing,high,9,740,streaming,PIPE-019
PIPE-068,ml-features,ml-features,standard,7,295,batch,PIPE-034
PIPE-084,analytics,forecasting,high,6,450,batch,none
PIPE-099,compliance,compliance,high,5,410,batch,PIPE-007
PIPE-003,ingestion,meters,critical,18,1850,streaming,none
PIPE-012,silver-transform,meters,critical,22,2100,batch,PIPE-003
PIPE-025,billing,billing,critical,15,1420,streaming,PIPE-012
PIPE-038,silver-transform,meters,critical,11,980,batch,PIPE-003
PIPE-061,billing,billing,critical,13,1150,streaming,PIPE-012
PIPE-079,compliance,compliance,critical,10,890,batch,none
PIPE-105,platform,meters,critical,20,2350,streaming,"PIPE-003,PIPE-012"
