pipeline_id,team,domain,mode,spark_version,sla_tier,cost_monthly_eur,consumer_count,alert_configured,partition_col,status
PIPE-001,ingestion,meters,streaming,3.3,critical,1369,6,False,"date,region",active
PIPE-002,silver-transform,turbines,batch,3.4,standard,279,2,False,"date,region",experimental
PIPE-003,analytics,weather,batch,3.2,standard,390,0,False,date,active
PIPE-004,billing,billing,batch,3.2,best_effort,178,22,False,date,active
PIPE-005,compliance,forecasting,batch,3.3,standard,329,9,False,date,active
PIPE-006,ml-features,compliance,batch,3.3,high,732,9,False,date,active
PIPE-007,asset-ops,ml-features,batch,3.3,standard,483,6,False,"date,region",active
PIPE-008,platform,asset-mgmt,batch,3.3,standard,165,1,False,"date,region",experimental
PIPE-009,ingestion,meters,batch,3.3,best_effort,91,1,False,date,active
PIPE-010,silver-transform,turbines,batch,3.3,best_effort,79,18,True,"date,region",active
PIPE-011,analytics,weather,streaming,3.4,high,464,4,True,"date,region",active
PIPE-012,billing,billing,batch,3.2,standard,492,17,True,"date,region",active
PIPE-013,compliance,forecasting,batch,3.2,standard,438,3,True,"date,region,domain",active
PIPE-014,ml-features,compliance,batch,3.4,high,638,3,True,date,active
PIPE-015,asset-ops,ml-features,batch,3.4,critical,2370,4,False,"date,region,domain",active
PIPE-016,platform,asset-mgmt,batch,3.2,standard,235,24,True,date,active
PIPE-017,ingestion,meters,batch,3.3,standard,233,30,True,date,experimental
PIPE-018,silver-transform,turbines,batch,3.3,best_effort,67,9,True,date,active
PIPE-019,analytics,weather,batch,3.2,high,875,6,True,"date,region,domain",active
PIPE-020,billing,billing,streaming,3.2,standard,444,1,True,date,active
PIPE-021,compliance,forecasting,batch,3.4,critical,1612,4,False,date,active
PIPE-022,ml-features,compliance,batch,3.2,standard,188,19,True,date,active
PIPE-023,asset-ops,ml-features,batch,3.4,best_effort,66,8,True,"date,region,domain",active
PIPE-024,platform,asset-mgmt,batch,3.2,best_effort,70,35,True,"date,region",active
PIPE-025,ingestion,meters,streaming,3.4,critical,1511,5,False,"date,region,domain",active
PIPE-026,silver-transform,turbines,batch,3.2,critical,2154,0,False,date,active
PIPE-027,analytics,weather,batch,3.2,standard,185,1,True,date,active
PIPE-028,billing,billing,streaming,3.3,standard,156,9,True,date,deprecated
PIPE-029,compliance,forecasting,streaming,3.3,high,821,7,True,date,active
PIPE-030,ml-features,compliance,streaming,3.4,standard,204,4,True,date,active
PIPE-031,asset-ops,ml-features,batch,3.3,high,891,20,True,date,active
PIPE-032,platform,asset-mgmt,streaming,3.2,high,725,5,True,"date,region,domain",active
PIPE-033,ingestion,meters,batch,3.2,high,762,7,True,date,active
PIPE-034,silver-transform,turbines,batch,3.3,high,622,9,True,"date,region",active
PIPE-035,analytics,weather,batch,3.4,standard,417,3,True,date,active
PIPE-036,billing,billing,streaming,3.2,high,715,4,True,"date,region",active
PIPE-037,compliance,forecasting,streaming,3.4,standard,388,7,True,"date,region",active
PIPE-038,ml-features,compliance,batch,3.3,high,822,12,True,date,active
PIPE-039,asset-ops,ml-features,batch,3.2,standard,315,8,True,date,active
PIPE-040,platform,asset-mgmt,batch,3.4,high,825,8,True,date,active
PIPE-041,ingestion,meters,streaming,3.3,standard,292,5,True,date,active
PIPE-042,silver-transform,turbines,streaming,3.2,standard,274,5,True,date,active
PIPE-043,analytics,weather,streaming,3.2,standard,441,8,True,date,active
PIPE-044,billing,billing,batch,3.2,high,572,7,True,date,active
PIPE-045,compliance,forecasting,batch,3.2,standard,403,3,True,"date,region",deprecated
PIPE-046,ml-features,compliance,streaming,3.2,standard,243,17,True,"date,region,domain",active
PIPE-047,asset-ops,ml-features,batch,3.3,high,508,4,True,"date,region",active
PIPE-048,platform,asset-mgmt,batch,3.4,high,808,1,True,date,active
PIPE-049,ingestion,meters,batch,3.4,best_effort,127,3,True,date,deprecated
PIPE-050,silver-transform,turbines,batch,3.4,best_effort,110,8,True,"date,region",active
PIPE-051,analytics,weather,batch,3.2,high,664,16,True,date,active
PIPE-052,billing,billing,batch,3.2,critical,975,0,False,"date,region",active
PIPE-053,compliance,forecasting,streaming,3.4,standard,358,9,True,date,active
PIPE-054,ml-features,compliance,batch,3.4,standard,434,6,True,"date,region",active
PIPE-055,asset-ops,ml-features,streaming,3.2,high,753,0,True,date,active
PIPE-056,platform,asset-mgmt,streaming,3.2,high,730,1,True,"date,region",active
PIPE-057,ingestion,meters,batch,3.3,best_effort,154,2,True,date,active
PIPE-058,silver-transform,turbines,batch,3.2,high,447,18,True,"date,region",active
PIPE-059,analytics,weather,streaming,3.2,critical,1253,21,False,"date,region,domain",active
PIPE-060,billing,billing,batch,3.3,best_effort,102,4,True,"date,region",active
PIPE-061,compliance,forecasting,batch,3.3,standard,489,6,True,date,active
PIPE-062,ml-features,compliance,batch,3.3,standard,392,7,True,date,active
PIPE-063,asset-ops,ml-features,batch,3.3,high,617,31,True,date,active
PIPE-064,platform,asset-mgmt,streaming,3.2,high,580,1,True,date,active
PIPE-065,ingestion,meters,batch,3.4,high,538,5,True,date,active
PIPE-066,silver-transform,turbines,batch,3.2,critical,1314,10,False,date,experimental
PIPE-067,analytics,weather,batch,3.3,standard,211,2,True,date,active
PIPE-068,billing,billing,batch,3.2,critical,1446,5,False,date,active
PIPE-069,compliance,forecasting,batch,3.3,standard,424,3,True,date,active
PIPE-070,ml-features,compliance,batch,3.4,critical,1192,4,False,date,deprecated
PIPE-071,asset-ops,ml-features,streaming,3.3,high,778,26,True,"date,region",active
PIPE-072,platform,asset-mgmt,batch,3.3,high,541,6,True,"date,region",active
PIPE-073,ingestion,meters,batch,3.2,high,451,16,True,"date,region",active
PIPE-074,silver-transform,turbines,batch,3.4,critical,1406,2,False,date,active
PIPE-075,analytics,weather,batch,3.2,high,584,0,True,date,active
PIPE-076,billing,billing,batch,3.3,best_effort,117,3,True,"date,region,domain",active
PIPE-077,compliance,forecasting,batch,3.2,best_effort,176,5,True,date,active
PIPE-078,ml-features,compliance,batch,3.2,best_effort,110,5,True,date,active
PIPE-079,asset-ops,ml-features,batch,3.4,best_effort,53,6,True,"date,region",active
PIPE-080,platform,asset-mgmt,batch,3.2,high,757,31,True,"date,region",active
