meter_id,customer_type,install_date,substation_id,phase,billing_class,grid_zone
M-0001,residential,2018-05-12,SUB-01,single,A,Z1
M-0002,commercial,2019-03-04,SUB-01,three,B,Z1
M-0003,residential,2017-11-22,SUB-01,single,A,Z1
M-0004,residential,2020-01-15,SUB-01,single,A,Z1
M-0005,industrial,2016-08-30,SUB-01,three,C,Z1
M-0006,residential,2021-04-18,SUB-01,single,A,Z1
M-0007,residential,2019-09-25,SUB-02,single,A,Z1
M-0008,commercial,2018-12-03,SUB-02,three,B,Z1
M-0009,residential,2020-06-14,SUB-02,single,A,Z1
M-0012,residential,2017-02-08,SUB-03,single,A,Z2
M-0013,commercial,2019-07-19,SUB-03,three,B,Z2
M-0014,residential,2020-10-26,SUB-03,single,A,Z2
M-0015,industrial,2016-03-11,SUB-03,three,C,Z2
M-0017,residential,2018-08-04,SUB-04,single,A,Z2
M-0018,commercial,2019-11-21,SUB-04,three,B,Z2
M-0019,residential,2020-02-17,SUB-04,single,A,Z2
M-0022,residential,2017-06-30,SUB-05,single,A,Z3
M-0023,industrial,2018-09-09,SUB-05,three,C,Z3
M-0024,residential,2021-01-22,SUB-05,single,A,Z3
M-0025,commercial,2019-04-15,SUB-05,three,B,Z3
M-0027,residential,2018-07-28,SUB-06,single,A,Z3
M-0028,residential,2020-12-05,SUB-06,single,A,Z3
M-0029,commercial,2017-10-19,SUB-06,three,B,Z3
M-0032,residential,2019-05-24,SUB-07,single,A,Z3
M-0033,residential,2020-08-11,SUB-07,single,A,Z3
M-0036,residential,2018-04-07,SUB-08,single,A,Z4
M-0037,industrial,2017-01-13,SUB-08,three,C,Z4
M-0038,residential,2020-03-29,SUB-08,single,A,Z4
M-0039,commercial,2019-06-16,SUB-08,three,B,Z4
M-0041,residential,2018-11-02,SUB-09,single,A,Z4
M-0042,residential,2021-02-25,SUB-09,single,A,Z4
M-0043,commercial,2019-08-08,SUB-09,three,B,Z4
M-0046,residential,2020-05-19,SUB-10,single,A,Z5
M-0047,residential,2018-10-30,SUB-10,single,A,Z5
M-0048,industrial,2017-07-12,SUB-10,three,C,Z5
M-0051,residential,2019-12-23,SUB-11,single,A,Z5
M-0052,commercial,2020-09-06,SUB-11,three,B,Z5
M-0053,residential,2018-06-15,SUB-11,single,A,Z5
M-0056,residential,2019-03-28,SUB-12,single,A,Z5
M-0057,residential,2020-11-10,SUB-12,single,A,Z5
